itemid,item_count,avg_interaction_time,time_on_platform
93761,0.052083336,0.5721757,0.53241116
445559,0.0,0.22804242,0.0045757336
268049,0.020833334,0.4762227,0.03418619
431417,0.020833334,0.4762227,0.03418619
409498,0.0,0.37810552,0.0068039745
10552,0.010416666,0.71998477,0.039317045
361253,0.03125,0.46819595,0.8477393
102131,0.0,0.8084445,0.26906163
133138,0.010416666,0.51086295,0.7822605
354753,0.03125,0.7798123,0.09905307
441668,0.010416666,0.047527995,2.0648022e-06
188709,0.020833334,0.79738975,0.23127134
71442,0.0,0.08766467,0.117359914
29659,0.020833334,0.6650566,0.1442196
375492,0.0,0.45646393,0.013963624
444593,0.0,0.17270139,0.032118976
320130,0.104166664,0.04098211,0.085049
296619,0.052083336,0.22916885,0.7974475
223777,0.0,0.460434,6.1971728e-06
391586,0.0,0.30922183,0.03006818
44759,0.010416666,0.38082725,4.9915954e-05
442423,0.010416666,0.92439413,0.09143553
342530,0.010416666,0.5744828,0.12373658
83528,0.0,0.2672767,0.0047100256
372188,0.0,0.039746776,3.3186723e-05
171365,0.0,0.23001622,1.750764e-06
122604,0.14583334,0.23493762,0.4254272
212319,0.0,0.7416157,0.0073625636
162139,0.23958336,0.74129385,0.88044405
455357,0.0,0.85842943,0.05405647
314789,0.0,0.03246814,2.9602312e-05
179856,0.0,0.8325242,5.346414e-06
357385,0.052083336,0.38635382,0.16118596
53151,0.03125,0.35951325,0.73985034
167399,0.010416666,0.33105466,0.06865052
283971,0.020833334,0.020887565,0.00022795887
141240,0.0,0.024465222,0.0076521477
342331,0.0,0.87055844,1.797379e-05
416556,0.0,0.3148049,0.2250558
172894,0.0,0.64596826,0.00021677722
335975,0.010416666,0.67038864,0.6163181
367262,0.010416666,0.4992556,0.0014325948
138273,0.0,0.23009619,0.00020374873
238911,0.0,0.64205915,0.00023302362
309778,0.0,0.37800437,3.4226436e-05
329146,0.0,0.08553052,0.0028723658
144513,0.0,0.7286539,0.026716148
379092,0.0,0.74586457,0.0003437976
243980,0.0,0.11425969,0.009697048
31880,0.0,0.3109242,0.0019600682
191763,0.0,0.65473735,0.003540857
43441,0.0,0.66364837,0.006285167
180018,0.010416666,0.6637592,0.0301173
152120,0.0,0.20215765,5.1034538e-05
235224,0.0,0.14541154,0.099325195
335193,0.0,0.89829165,7.923751e-05
114024,0.0,0.88318527,0.00015442973
446820,0.010416666,0.33302283,0.014784297
6853,0.0,0.106067196,8.021986e-06
403302,0.041666664,0.41996276,0.19877246
422494,0.21875001,0.8239608,0.36128128
178451,0.03125,0.2160402,0.088085756
254290,0.010416666,0.799502,0.06069534
337327,0.020833334,0.69368356,0.39845693
333289,0.0,0.004290352,0.0003766471
359990,0.0,0.7806401,3.539712e-06
451023,0.0,0.40719825,0.056044307
415653,0.0,0.22262071,0.00054566097
132683,0.0,0.36716694,1.9959103e-05
175749,0.0,0.019292794,2.988539e-06
9877,0.0,0.5527254,0.117189385
355511,0.010416666,0.33212522,0.42047602
119360,0.010416666,0.60941225,0.0061248066
161703,0.0,0.3141413,0.009918196
323328,0.0,0.594332,0.031542543
363109,0.0,0.7877513,0.008789855
2716,0.0,0.078504495,0.015390927
89893,0.03125,0.37165383,0.04282889
51992,0.0,0.41036975,6.0629216e-05
192710,0.0,0.6857388,5.8037953e-05
48926,0.0,0.34624112,0.14084867
39238,0.0,0.8089324,0.13119906
81554,0.0,0.07589596,0.08632769
397919,0.0,0.534825,0.00050582935
248679,0.020833334,0.22683296,0.05279425
463280,0.0,0.2988213,0.039284445
44826,0.020833334,0.65936756,0.14023384
178891,0.020833334,0.21052052,0.100031435
428002,0.0,0.10919032,0.019917
47000,0.0,0.54210734,0.00076720334
